ticket_id,title,description,category,priority,assignee_id
80,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
81,Профилактика,Требуется плановая проверка,maintenance,high,44
82,Проблемы с сетью,Ошибка сетевого подключения,network,critical,46
83,Не работает принтер,Оборудование не отвечает,hardware,critical,43
84,Проблемы с безопасностью,Попытка несанкционированного доступа,security,high,40
85,Проблемы с учетной записью,Аккаунт заблокирован,accounts,medium,47
86,Проблемы с сетью,Ошибка сетевого подключения,network,medium,46
87,Не работает ПО,Программа не запускается,software,high,45
88,Авторизация,Проблемы с двухфакторной аутентификацией,access,medium,41
89,Проблемы с монитором,Аппаратная ошибка,hardware,high,43
90,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
91,Подозрительная активность,Проблемы с настройками безопасности,security,critical,40
92,Авторизация,Проблемы с двухфакторной аутентификацией,access,medium,41
93,Ошибка в программе,Не удается установить обновление,software,high,45
94,Проблемы с сетью,Не работает интернет,network,high,46
95,Создание нового аккаунта,Проблемы с доступом к аккаунту,accounts,critical,47
96,Проблемы с доступом,Ошибка при входе в систему,access,medium,41
97,Сломался компьютер,Аппаратная ошибка,hardware,low,43
98,Подозрительная активность,Проблемы с настройками безопасности,security,critical,40
99,Обновление системы,Требуется плановая проверка,maintenance,critical,44
100,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
101,Не работает принтер,Оборудование не отвечает,hardware,critical,43
102,Ошибка в программе,Ошибка при выполнении,software,high,45
103,Не работает принтер,Устройство не включается,hardware,high,43
104,Авторизация,Проблемы с двухфакторной аутентификацией,access,low,41
105,Несанкционированный доступ,Попытка несанкционированного доступа,security,high,40
106,Нет интернета,Не работает интернет,network,high,46
107,Сломался компьютер,Оборудование не отвечает,hardware,medium,43
108,Проверка оборудования,Запуск диагностики,maintenance,low,44
109,Проблемы с монитором,Устройство не включается,hardware,high,43
110,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
111,Ошибка в программе,Не удается установить обновление,software,medium,45
112,Проблемы с безопасностью,Попытка несанкционированного доступа,security,critical,40
113,Не работает принтер,Устройство не включается,hardware,high,43
114,Ошибка в программе,Программа не запускается,software,medium,45
115,Создание нового аккаунта,Аккаунт заблокирован,accounts,low,47
116,Сброс пароля,Не удается сбросить пароль,access,critical,41
117,Обновление системы,Запуск диагностики,maintenance,high,44
118,Ошибка подключения,Проблемы с Wi-Fi,network,critical,46
119,Проблемы с безопасностью,Попытка несанкционированного доступа,security,low,40
120,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
121,Сломался компьютер,Оборудование не отвечает,hardware,low,43
122,Ошибка подключения,Ошибка сетевого подключения,network,high,46
123,Не работает ПО,Ошибка при выполнении,software,medium,45
124,Сброс пароля,Не удается сбросить пароль,access,medium,41
125,Блокировка аккаунта,Не удается создать учетную запись,accounts,medium,47
126,Профилактика,Требуется плановая проверка,maintenance,medium,44
127,Не работает принтер,Оборудование не отвечает,hardware,high,43
128,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,critical,41
129,Не работает ПО,Ошибка при выполнении,software,low,45
130,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
131,Сломался компьютер,Аппаратная ошибка,hardware,high,43
132,Проблемы с доступом,Не удается сбросить пароль,access,medium,41
133,Проблемы с безопасностью,Попытка несанкционированного доступа,security,high,40
134,Нет интернета,Проблемы с Wi-Fi,network,high,46
135,Проверка оборудования,Необходимо обновить ПО,maintenance,high,44
136,Авторизация,Ошибка при входе в систему,access,low,41
137,Сломался компьютер,Оборудование не отвечает,hardware,low,43
138,Ошибка в программе,Ошибка при выполнении,software,high,45
139,Сломался компьютер,Аппаратная ошибка,hardware,medium,43
140,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
141,Ошибка в программе,Ошибка при выполнении,software,critical,45
142,Нет интернета,Проблемы с Wi-Fi,network,high,46
143,Не работает принтер,Оборудование не отвечает,hardware,low,43
144,Профилактика,Требуется плановая проверка,maintenance,medium,44
145,Блокировка аккаунта,Аккаунт заблокирован,accounts,critical,47
146,Проблемы с сетью,Не работает интернет,network,high,46
147,Подозрительная активность,Обнаружена подозрительная активность,security,critical,40
148,Проблемы с доступом,Ошибка при входе в систему,access,critical,41
149,Проблемы с монитором,Устройство не включается,hardware,high,43
150,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
151,Сломался компьютер,Аппаратная ошибка,hardware,low,43
152,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,low,41
153,Профилактика,Запуск диагностики,maintenance,medium,44
154,Проблемы с безопасностью,Обнаружена подозрительная активность,security,low,40
155,Создание нового аккаунта,Не удается создать учетную запись,accounts,critical,47
156,Сброс пароля,Ошибка при входе в систему,access,critical,41
157,Не работает принтер,Аппаратная ошибка,hardware,medium,43
158,Проблемы с сетью,Ошибка сетевого подключения,network,critical,46
159,Ошибка в программе,Ошибка при выполнении,software,medium,45
160,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
161,Подозрительная активность,Проблемы с настройками безопасности,security,critical,40
162,Профилактика,Необходимо обновить ПО,maintenance,high,44
163,Проблемы с монитором,Устройство не включается,hardware,high,43
164,Авторизация,Проблемы с двухфакторной аутентификацией,access,critical,41
165,Проблемы с учетной записью,Проблемы с доступом к аккаунту,accounts,high,47
166,Нет интернета,Ошибка сетевого подключения,network,medium,46
167,Не работает принтер,Аппаратная ошибка,hardware,low,43
168,Несанкционированный доступ,Попытка несанкционированного доступа,security,critical,40
169,Проблемы с монитором,Оборудование не отвечает,hardware,medium,43
170,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
171,Проверка оборудования,Запуск диагностики,maintenance,critical,44
172,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,low,41
173,Не работает принтер,Аппаратная ошибка,hardware,low,43
174,Ошибка в программе,Ошибка при выполнении,software,medium,45
175,Несанкционированный доступ,Обнаружена подозрительная активность,security,low,40
176,Авторизация,Ошибка при входе в систему,access,critical,41
177,Проблемы с приложением,Программа не запускается,software,critical,45
178,Ошибка подключения,Ошибка сетевого подключения,network,low,46
179,Проблемы с монитором,Аппаратная ошибка,hardware,medium,43
180,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
181,Сломался компьютер,Устройство не включается,hardware,high,43
182,Подозрительная активность,Попытка несанкционированного доступа,security,high,40
183,Проблемы с приложением,Ошибка при выполнении,software,medium,45
184,Проблемы с доступом,Проблемы с двухфакторной аутентификацией,access,medium,41
185,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,low,47
186,Не работает ПО,Программа не запускается,software,high,45
187,Проблемы с монитором,Оборудование не отвечает,hardware,medium,43
188,Проблемы с доступом,Не удается сбросить пароль,access,medium,41
189,Обновление системы,Необходимо обновить ПО,maintenance,critical,44
190,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
191,Не работает принтер,Устройство не включается,hardware,high,43
192,Авторизация,Ошибка при входе в систему,access,high,41
193,Не работает принтер,Оборудование не отвечает,hardware,medium,43
194,Проблемы с сетью,Не работает интернет,network,high,46
195,Создание нового аккаунта,Проблемы с доступом к аккаунту,accounts,low,47
196,Несанкционированный доступ,Проблемы с настройками безопасности,security,critical,40
197,Сломался компьютер,Аппаратная ошибка,hardware,high,43
198,Проверка оборудования,Требуется плановая проверка,maintenance,high,44
199,Не работает принтер,Аппаратная ошибка,hardware,high,43
200,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
201,Проблемы с приложением,Программа не запускается,software,critical,45
202,Нет интернета,Не работает интернет,network,high,46
203,Несанкционированный доступ,Обнаружена подозрительная активность,security,medium,40
204,Сброс пароля,Не удается сбросить пароль,access,critical,41
205,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,medium,47
206,Нет интернета,Ошибка сетевого подключения,network,high,46
207,Обновление системы,Требуется плановая проверка,maintenance,medium,44
208,Сброс пароля,Ошибка при входе в систему,access,high,41
209,Не работает принтер,Оборудование не отвечает,hardware,medium,43
210,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
211,Сломался компьютер,Аппаратная ошибка,hardware,high,43
212,Авторизация,Проблемы с двухфакторной аутентификацией,access,high,41
213,Ошибка в программе,Не удается установить обновление,software,medium,45
214,Ошибка подключения,Проблемы с Wi-Fi,network,critical,46
215,Проблемы с учетной записью,Не удается создать учетную запись,accounts,critical,47
216,Проверка оборудования,Запуск диагностики,maintenance,low,44
217,Подозрительная активность,Попытка несанкционированного доступа,security,medium,40
218,Проблемы с сетью,Не работает интернет,network,high,46
219,Ошибка в программе,Программа не запускается,software,medium,45
220,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
221,Не работает принтер,Оборудование не отвечает,hardware,high,43
222,Ошибка в программе,Ошибка при выполнении,software,low,45
223,Сломался компьютер,Устройство не включается,hardware,high,43
224,Несанкционированный доступ,Попытка несанкционированного доступа,security,low,40
225,Проверка оборудования,Запуск диагностики,maintenance,high,44
226,Нет интернета,Не работает интернет,network,high,46
227,Проблемы с монитором,Устройство не включается,hardware,high,43
228,Авторизация,Не удается сбросить пароль,access,low,41
229,Сломался компьютер,Оборудование не отвечает,hardware,high,43
230,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
231,Несанкционированный доступ,Обнаружена подозрительная активность,security,critical,40
232,Сброс пароля,Ошибка при входе в систему,access,critical,41
233,Проблемы с монитором,Аппаратная ошибка,hardware,critical,43
234,Проверка оборудования,Необходимо обновить ПО,maintenance,low,44
235,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,high,47
236,Проблемы с доступом,Не удается сбросить пароль,access,high,41
237,Ошибка в программе,Ошибка при выполнении,software,medium,45
238,Несанкционированный доступ,Попытка несанкционированного доступа,security,high,40
239,Проблемы с монитором,Оборудование не отвечает,hardware,critical,43
240,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
241,Не работает принтер,Аппаратная ошибка,hardware,critical,43
242,Ошибка подключения,Не работает интернет,network,high,46
243,Проверка оборудования,Запуск диагностики,maintenance,medium,44
244,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,high,41
245,Подозрительная активность,Обнаружена подозрительная активность,security,medium,40
246,Не работает ПО,Не удается установить обновление,software,critical,45
247,Сломался компьютер,Аппаратная ошибка,hardware,high,43
248,Сброс пароля,Не удается сбросить пароль,access,low,41
249,Проблемы с приложением,Программа не запускается,software,critical,45
250,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
251,Проблемы с монитором,Оборудование не отвечает,hardware,low,43
252,Проверка оборудования,Необходимо обновить ПО,maintenance,high,44
253,Сломался компьютер,Устройство не включается,hardware,high,43
254,Проблемы с сетью,Ошибка сетевого подключения,network,high,46
255,Блокировка аккаунта,Аккаунт заблокирован,accounts,medium,47
256,Авторизация,Проблемы с двухфакторной аутентификацией,access,critical,41
257,Не работает принтер,Оборудование не отвечает,hardware,critical,43
258,Не работает ПО,Не удается установить обновление,software,medium,45
259,Проблемы с безопасностью,Попытка несанкционированного доступа,security,critical,40
260,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
261,Профилактика,Требуется плановая проверка,maintenance,medium,44
262,Нет интернета,Ошибка сетевого подключения,network,medium,46
263,Проблемы с монитором,Устройство не включается,hardware,high,43
264,Авторизация,Не удается сбросить пароль,access,medium,41
265,Проблемы с учетной записью,Не удается создать учетную запись,accounts,critical,47
266,Проблемы с безопасностью,Проблемы с настройками безопасности,security,critical,40
267,Ошибка в программе,Не удается установить обновление,software,critical,45
268,Проблемы с доступом,Не удается сбросить пароль,access,critical,41
269,Сломался компьютер,Устройство не включается,hardware,high,43
270,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
271,Проблемы с монитором,Оборудование не отвечает,hardware,low,43
272,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,high,41
273,Подозрительная активность,Проблемы с настройками безопасности,security,critical,40
274,Нет интернета,Проблемы с Wi-Fi,network,high,46
275,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,low,47
276,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,low,41
277,Не работает принтер,Оборудование не отвечает,hardware,critical,43
278,Проблемы с сетью,Не работает интернет,network,high,46
279,Профилактика,Необходимо обновить ПО,maintenance,high,44
280,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
281,Не работает принтер,Оборудование не отвечает,hardware,critical,43
282,Не работает ПО,Не удается установить обновление,software,critical,45
283,Сломался компьютер,Устройство не включается,hardware,high,43
284,Сброс пароля,Не удается сбросить пароль,access,low,41
285,Проблемы с учетной записью,Аккаунт заблокирован,accounts,critical,47
286,Нет интернета,Не работает интернет,network,high,46
287,Подозрительная активность,Попытка несанкционированного доступа,security,critical,40
288,Профилактика,Требуется плановая проверка,maintenance,critical,44
289,Проблемы с монитором,Аппаратная ошибка,hardware,critical,43
290,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
291,Ошибка в программе,Не удается установить обновление,software,low,45
292,Сброс пароля,Не удается сбросить пароль,access,high,41
293,Не работает принтер,Устройство не включается,hardware,high,43
294,Проблемы с безопасностью,Попытка несанкционированного доступа,security,high,40
295,Создание нового аккаунта,Не удается создать учетную запись,accounts,medium,47
296,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,critical,41
297,Проверка оборудования,Необходимо обновить ПО,maintenance,critical,44
298,Нет интернета,Не работает интернет,network,high,46
299,Не работает принтер,Устройство не включается,hardware,high,43
300,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
301,Несанкционированный доступ,Проблемы с настройками безопасности,security,critical,40
302,Нет интернета,Ошибка сетевого подключения,network,high,46
303,Ошибка в программе,Не удается установить обновление,software,high,45
304,Сброс пароля,Ошибка при входе в систему,access,critical,41
305,Блокировка аккаунта,Не удается создать учетную запись,accounts,critical,47
306,Проверка оборудования,Необходимо обновить ПО,maintenance,medium,44
307,Проблемы с монитором,Оборудование не отвечает,hardware,medium,43
308,Проблемы с безопасностью,Попытка несанкционированного доступа,security,low,40
309,Ошибка в программе,Программа не запускается,software,medium,45
310,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
311,Не работает принтер,Устройство не включается,hardware,high,43
312,Авторизация,Не удается сбросить пароль,access,critical,41
313,Проблемы с монитором,Аппаратная ошибка,hardware,low,43
314,Ошибка подключения,Не работает интернет,network,high,46
315,Проверка оборудования,Требуется плановая проверка,maintenance,medium,44
316,Проблемы с доступом,Не удается сбросить пароль,access,critical,41
317,Не работает принтер,Устройство не включается,hardware,high,43
318,Ошибка в программе,Не удается установить обновление,software,medium,45
319,Не работает принтер,Оборудование не отвечает,hardware,low,43
320,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
321,Ошибка в программе,Программа не запускается,software,low,45
322,Несанкционированный доступ,Обнаружена подозрительная активность,security,critical,40
323,Не работает принтер,Оборудование не отвечает,hardware,critical,43
324,Профилактика,Требуется плановая проверка,maintenance,medium,44
325,Создание нового аккаунта,Не удается создать учетную запись,accounts,critical,47
326,Нет интернета,Проблемы с Wi-Fi,network,critical,46
327,Проблемы с приложением,Ошибка при выполнении,software,critical,45
328,Проблемы с доступом,Ошибка при входе в систему,access,low,41
329,Проблемы с безопасностью,Попытка несанкционированного доступа,security,medium,40
330,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
331,Сломался компьютер,Оборудование не отвечает,hardware,critical,43
332,Авторизация,Проблемы с двухфакторной аутентификацией,access,medium,41
333,Профилактика,Требуется плановая проверка,maintenance,high,44
334,Ошибка подключения,Проблемы с Wi-Fi,network,low,46
335,Проблемы с учетной записью,Аккаунт заблокирован,accounts,medium,47
336,Несанкционированный доступ,Попытка несанкционированного доступа,security,critical,40
337,Проблемы с монитором,Аппаратная ошибка,hardware,medium,43
338,Ошибка подключения,Проблемы с Wi-Fi,network,low,46
339,Проблемы с приложением,Программа не запускается,software,low,45
340,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
341,Проблемы с монитором,Устройство не включается,hardware,high,43
342,Проверка оборудования,Требуется плановая проверка,maintenance,medium,44
343,Подозрительная активность,Попытка несанкционированного доступа,security,critical,40
344,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,high,41
345,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,high,47
346,Нет интернета,Не работает интернет,network,high,46
347,Проблемы с монитором,Устройство не включается,hardware,high,43
348,Сброс пароля,Ошибка при входе в систему,access,high,41
349,Не работает принтер,Устройство не включается,hardware,high,43
350,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
351,Обновление системы,Запуск диагностики,maintenance,medium,44
352,Авторизация,Ошибка при входе в систему,access,critical,41
353,Проблемы с монитором,Аппаратная ошибка,hardware,high,43
354,Ошибка в программе,Ошибка при выполнении,software,critical,45
355,Создание нового аккаунта,Аккаунт заблокирован,accounts,low,47
356,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,high,41
357,Проблемы с безопасностью,Попытка несанкционированного доступа,security,low,40
358,Проблемы с сетью,Не работает интернет,network,high,46
359,Проблемы с монитором,Устройство не включается,hardware,high,43
360,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
361,Сломался компьютер,Аппаратная ошибка,hardware,medium,43
362,Проблемы с сетью,Ошибка сетевого подключения,network,low,46
363,Проблемы с приложением,Не удается установить обновление,software,medium,45
364,Проблемы с безопасностью,Обнаружена подозрительная активность,security,high,40
365,Проблемы с учетной записью,Аккаунт заблокирован,accounts,critical,47
366,Не работает ПО,Не удается установить обновление,software,critical,45
367,Сломался компьютер,Оборудование не отвечает,hardware,high,43
368,Авторизация,Не удается сбросить пароль,access,low,41
369,Проверка оборудования,Требуется плановая проверка,maintenance,low,44
370,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
371,Проблемы с безопасностью,Обнаружена подозрительная активность,security,critical,40
372,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,medium,41
373,Сломался компьютер,Аппаратная ошибка,hardware,low,43
374,Ошибка подключения,Проблемы с Wi-Fi,network,medium,46
375,Проблемы с учетной записью,Не удается создать учетную запись,accounts,medium,47
376,Проблемы с доступом,Ошибка при входе в систему,access,low,41
377,Сломался компьютер,Устройство не включается,hardware,high,43
378,Обновление системы,Необходимо обновить ПО,maintenance,critical,44
379,Проблемы с монитором,Аппаратная ошибка,hardware,high,43
380,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
381,Не работает ПО,Программа не запускается,software,high,45
382,Ошибка подключения,Проблемы с Wi-Fi,network,critical,46
383,Сломался компьютер,Оборудование не отвечает,hardware,high,43
384,Авторизация,Не удается сбросить пароль,access,critical,41
385,Проблемы с безопасностью,Проблемы с настройками безопасности,security,critical,40
386,Проблемы с сетью,Ошибка сетевого подключения,network,low,46
387,Профилактика,Требуется плановая проверка,maintenance,low,44
388,Авторизация,Ошибка при входе в систему,access,high,41
389,Не работает принтер,Аппаратная ошибка,hardware,critical,43
390,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
391,Проблемы с монитором,Аппаратная ошибка,hardware,high,43
392,Подозрительная активность,Обнаружена подозрительная активность,security,low,40
393,Ошибка в программе,Не удается установить обновление,software,medium,45
394,Ошибка подключения,Ошибка сетевого подключения,network,medium,46
395,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,high,47
396,Обновление системы,Необходимо обновить ПО,maintenance,low,44
397,Не работает принтер,Оборудование не отвечает,hardware,critical,43
398,Ошибка подключения,Ошибка сетевого подключения,network,low,46
399,Несанкционированный доступ,Обнаружена подозрительная активность,security,critical,40
400,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
401,Не работает принтер,Устройство не включается,hardware,high,43
402,Не работает ПО,Ошибка при выполнении,software,low,45
403,Сломался компьютер,Аппаратная ошибка,hardware,low,43
404,Проблемы с доступом,Не удается сбросить пароль,access,medium,41
405,Проверка оборудования,Требуется плановая проверка,maintenance,low,44
406,Несанкционированный доступ,Попытка несанкционированного доступа,security,low,40
407,Проблемы с монитором,Аппаратная ошибка,hardware,high,43
408,Сброс пароля,Не удается сбросить пароль,access,high,41
409,Не работает принтер,Аппаратная ошибка,hardware,high,43
410,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
411,Проблемы с приложением,Программа не запускается,software,high,45
412,Сброс пароля,Ошибка при входе в систему,access,high,41
413,Несанкционированный доступ,Проблемы с настройками безопасности,security,critical,40
414,Проверка оборудования,Требуется плановая проверка,maintenance,high,44
415,Блокировка аккаунта,Аккаунт заблокирован,accounts,low,47
416,Проблемы с доступом,Проблемы с двухфакторной аутентификацией,access,low,41
417,Ошибка в программе,Программа не запускается,software,critical,45
418,Проблемы с сетью,Ошибка сетевого подключения,network,critical,46
419,Проблемы с монитором,Аппаратная ошибка,hardware,high,43
420,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
421,Проблемы с монитором,Устройство не включается,hardware,high,43
422,Ошибка подключения,Проблемы с Wi-Fi,network,critical,46
423,Обновление системы,Запуск диагностики,maintenance,medium,44
424,Проблемы с доступом,Ошибка при входе в систему,access,medium,41
425,Проблемы с учетной записью,Проблемы с доступом к аккаунту,accounts,high,47
426,Не работает ПО,Программа не запускается,software,critical,45
427,Подозрительная активность,Проблемы с настройками безопасности,security,critical,40
428,Авторизация,Проблемы с двухфакторной аутентификацией,access,high,41
429,Проблемы с приложением,Ошибка при выполнении,software,low,45
430,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
431,Сломался компьютер,Оборудование не отвечает,hardware,low,43
432,Обновление системы,Запуск диагностики,maintenance,low,44
433,Проблемы с монитором,Оборудование не отвечает,hardware,low,43
434,Проблемы с безопасностью,Обнаружена подозрительная активность,security,critical,40
435,Блокировка аккаунта,Не удается создать учетную запись,accounts,low,47
436,Авторизация,Проблемы с двухфакторной аутентификацией,access,high,41
437,Проблемы с монитором,Устройство не включается,hardware,high,43
438,Проблемы с приложением,Программа не запускается,software,low,45
439,Проблемы с монитором,Устройство не включается,hardware,high,43
440,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
441,Проверка оборудования,Необходимо обновить ПО,maintenance,low,44
442,Ошибка подключения,Ошибка сетевого подключения,network,critical,46
443,Сломался компьютер,Устройство не включается,hardware,high,43
444,Проблемы с доступом,Проблемы с двухфакторной аутентификацией,access,medium,41
445,Проблемы с учетной записью,Не удается создать учетную запись,accounts,critical,47
446,Нет интернета,Проблемы с Wi-Fi,network,low,46
447,Проблемы с приложением,Не удается установить обновление,software,critical,45
448,Проблемы с безопасностью,Попытка несанкционированного доступа,security,critical,40
449,Сломался компьютер,Оборудование не отвечает,hardware,medium,43
450,Неопределенная ошибка,Ошибка без подробного описания,undefined,high,42
451,Проблемы с монитором,Оборудование не отвечает,hardware,medium,43
452,Сброс пароля,Проблемы с двухфакторной аутентификацией,access,medium,41
453,Проблемы с приложением,Программа не запускается,software,critical,45
454,Нет интернета,Ошибка сетевого подключения,network,critical,46
